pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.9983780999999999,99432.88,298.45,0.01263799,0.005396843,0.27481872,50.0
0.99513453,98305.65,298.49,0.01260588,0.048521042,0.8227619,150.0
0.9918913,97187.695,298.53,0.012577989,0.13450336,1.3656323000000001,250.0
0.9886485,96078.97,298.56,0.01254799,0.26281357,1.9000831000000002,350.00002
0.9854059000000001,94979.414,298.6,0.01251858,0.43266058,2.4228194,450.00002
0.9821638,93889.03,298.64,0.01249192,0.64299774,2.9306183,550.0
0.978922,92807.734,298.68,0.0124586,0.89252806,3.4203483999999995,650.00004
0.9756806,91735.484,298.72,0.01243183,1.1797128000000001,3.8889918,750.00006
0.9724396000000001,90672.25,298.76,0.01240232,1.5027814,4.333657700000001,850.0
0.96919894,89617.97,298.8,0.01237502,1.8597426,4.7516055,950.00005
0.9659587,88572.61,298.84,0.01235375,2.248394,5.140257,1050.0001000000002
0.96272147,87536.945,299.4,0.012130318999999999,2.6663422999999997,5.497218599999999,1150.0001
0.9594898999999999,86511.74,299.96,0.011908321000000001,3.1110082,5.820287,1250.0
0.95626384,85496.9,300.51,0.011687729499999999,3.5796509,6.1074720000000005,1350.0
0.9530433,84492.28,301.07,0.01146297,4.0693817,6.3570023,1450.0
0.9498283000000002,83497.87,301.63,0.01124538,4.5771809999999995,6.5673394,1550.0001000000002
0.9466189,82513.52,302.19,0.01102925,5.0999165,6.737186400000001,1650.0001
0.943415,81539.164,302.74,0.01081459,5.634367500000001,6.8654966,1750.0001
0.94021654,80574.7,303.3,0.010596248999999999,6.177238,6.951478999999999,1850.0001
0.9370235999999998,79620.055,303.86,0.01037958,6.725181599999999,6.994603,1950.0
0.93383604,78675.12,304.41,0.01016971,7.2625,7.0,2050.0002
0.93065387,77739.8,304.96,0.00995644,7.7875,7.0,2150.0
0.92747706,76813.99,305.52,0.00974492,8.3125,7.0,2250.0
0.92430437,75897.29,305.89,0.00917052,8.8375,7.0,2350.0000999999997
0.92113316,74988.85,305.99,0.00875701,9.3625,7.0,2450.0
0.91796225,74088.3,306.1,0.008341409000000001,9.8875,7.0,2550.0002
0.9147924000000001,73195.79,306.34,0.00794525,10.4125,7.0,2650.0
0.9116245000000001,72311.53,306.61,0.00756776,10.9375,7.0,2750.0002
0.90845865,71435.5,306.88,0.0072079403,11.4625,7.0,2850.0000999999997
0.90529495,70567.664,307.16,0.00686488,11.9875,7.0,2950.0
0.9021334999999999,69708.016,307.44,0.00653768,12.5125,7.0,3050.0002
0.8989744000000001,68856.49,307.73,0.00622553,13.0375,7.0,3150.0
0.89581776,68013.07,308.03,0.00592765,13.5625,7.0,3250.0002
0.8926636,67177.73,308.33,0.0056433002000000005,14.0875,7.0,3350.0001
0.8895120000000001,66350.4,308.63,0.00537181,14.6125,7.0,3450.0
0.8863629999999999,65531.07,308.94,0.00511254,15.1375,7.0,3550.0002
0.88321674,64719.676,309.25,0.00486487,15.6625,7.0,3650.0
0.8800732,63916.195,309.57,0.00462824,16.1875,7.0,3750.0002
0.87693244,63120.566,309.89,0.00440212,16.7125,7.0,3850.0001
0.8737944999999999,62332.74,310.21,0.0041859997,17.2375,7.0,3950.0002999999997
0.8706594999999999,61552.69,310.54,0.0039794,17.7625,7.0,4050.0
0.86752737,60780.35,310.86,0.00378189,18.2875,7.0,4150.0
0.8643982,60015.684,311.2,0.0035930402,18.8125,7.0,4250.0
