pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.9983780999999999,99432.88,298.46,0.01263722,0.005396843,0.27481872,50.0
0.9951348,98305.734,298.52,0.012595549,0.048521042,0.8227619,150.0
0.991892,97187.92,298.58,0.012556329,0.13450336,1.3656323000000001,250.0
0.9886497999999999,96079.414,298.64,0.012517841000000002,0.26281357,1.9000831000000002,350.00002
0.9854082000000001,94980.19,298.71,0.012478598999999998,0.43266058,2.4228194,450.00002
0.98216724,93890.19,298.77,0.012437318999999999,0.64299774,2.9306183,550.0
0.9789269,92809.35,298.83,0.01240022,0.89252806,3.4203483999999995,650.00004
0.9756870999999999,91737.625,298.89,0.01236526,1.1797128000000001,3.8889918,750.00006
0.97244793,90674.97,298.96,0.01233062,1.5027814,4.333657700000001,850.0
0.96920943,89621.37,299.02,0.01229472,1.8597426,4.7516055,950.00005
0.9659715,88576.72,299.08,0.01226228,2.248394,5.140257,1050.0001000000002
0.96273404,87540.945,299.25,0.01145593,2.6663422999999997,5.497218599999999,1150.0001
0.9594969000000001,86513.97,299.37,0.010987231,3.1110082,5.820287,1250.0
0.95626086,85495.96,299.61,0.01054304,3.5796509,6.1074720000000005,1350.0
0.9530270000000001,84487.23,299.93,0.01011728,4.0693817,6.3570023,1450.0
0.94979584,83487.86,300.26,0.009708979,4.5771809999999995,6.5673394,1550.0001000000002
0.9465674999999999,82497.82,300.59,0.0093173105,5.0999165,6.737186400000001,1650.0001
0.9433419,81517.04,300.92,0.00894144,5.634367500000001,6.8654966,1750.0001
0.9401191999999999,80545.484,301.26,0.0085806195,6.177238,6.951478999999999,1850.0001
0.93689954,79583.14,301.61,0.00823414,6.725181599999999,6.994603,1950.0
0.933683,78629.945,301.96,0.00790133,7.2625,7.0,2050.0002
0.9304696,77685.87,302.32,0.00758154,7.7875,7.0,2150.0
0.9272594000000001,76750.85,302.68,0.007274179699999999,8.3125,7.0,2250.0
0.9240524,75824.836,303.04,0.00697867,8.8375,7.0,2350.0000999999997
0.9208487,74907.76,303.41,0.00669449,9.3625,7.0,2450.0
0.9176485000000001,73999.61,303.79,0.00642113,9.8875,7.0,2550.0002
0.9144517,73100.32,304.17,0.00615811,10.4125,7.0,2650.0
0.91125846,72209.86,304.55,0.00590498,10.9375,7.0,2750.0002
0.9080687,71328.125,304.93,0.0056613004,11.4625,7.0,2850.0000999999997
0.90488255,70455.1,305.32,0.00542669,11.9875,7.0,2950.0
0.9017,69590.72,305.71,0.00520076,12.5125,7.0,3050.0002
0.8985211,68734.914,306.1,0.00498315,13.0375,7.0,3150.0
0.8953459,67887.64,306.5,0.00477352,13.5625,7.0,3250.0002
0.8921745000000001,67048.85,306.9,0.00457155,14.0875,7.0,3350.0001
0.88900673,66218.445,307.3,0.00437693,14.6125,7.0,3450.0
