pi,prs (Pa),theta (K),qv (kg/kg),u (m/s),v (m/s),z (m)
0.99839205,99437.76,300.04553,0.014,-12.494603,-2.7251813,50.0
0.99516886,98317.53,300.17972,0.014,-12.451479,-2.177238,150.0
0.99194723,97206.88,300.34033,0.014,-12.365497,-1.6343677,250.0
0.98872745,96105.86,300.51828,0.014,-12.237186,-1.0999169,350.00003
0.98550963,95014.445,300.7096,0.014,-12.067339,-0.5771806,450.00003
0.9822939,93932.62,300.9119,0.014,-11.857002,-0.069381714,550.0
0.9790804,92860.34,301.12366,0.014,-11.607471,0.4203484,650.00006
0.9758692,91797.62,301.34375,0.014,-11.320288,0.88899183,750.00006
0.97266036,90744.39,301.57132,0.014,-10.997219,1.3336577,850.0
0.969454,89700.625,301.8057,0.014,-10.640257,1.7516055,950.00006
0.9662501,88666.26,302.04636,0.014,-10.251606,2.1402574,1050.0001
0.9630489,87641.29,302.2928,0.014,-9.833658,2.4972186,1150.0001
0.9598501,86625.586,302.54465,0.013809323,-9.388992,2.8202872,1250.0
0.9566533,85618.95,302.8016,0.013273597,-8.920349,3.107472,1350.0
0.95345825,84621.25,303.0634,0.012757588,-8.430618,3.3570023,1450.0
0.95026505,83632.45,303.3297,0.012260437,-7.922819,3.5673394,1550.0001
0.94707376,82652.52,303.60037,0.0117813805,-7.4000835,3.7371864,1650.0001
0.94388443,81681.42,303.87515,0.011319654,-6.8656325,3.8654966,1750.0001
0.94069713,80719.1,304.1539,0.010874605,-6.322762,3.951479,1850.0001
0.937512,79765.555,304.43643,0.010445593,-5.7748184,3.9946032,1950.0
0.93432903,78820.74,304.72263,0.010031996,-5.2,4.0,2050.0002
0.9311483,77884.59,305.01233,0.009633275,-4.6,4.0,2150.0
0.9279699,76957.09,305.30542,0.009248848,-4.0,4.0,2250.0
0.9247938,76038.19,305.60178,0.008878199,-3.3999996,4.0,2350.0002
0.92162013,75127.84,305.90134,0.008520888,-2.8000002,4.0,2450.0
0.9184489,74226.01,306.20392,0.008176379,-2.1999998,4.0,2550.0002
0.9152802,73332.64,306.50952,0.007844283,-1.6000004,4.0,2650.0
0.9121141,72447.69,306.81802,0.007524137,-1.0,4.0,2750.0002
0.90895057,71571.125,307.1293,0.007215542,-0.39999962,4.0,2850.0002
0.9057897,70702.88,307.44336,0.00691813,0.19999981,4.0,2950.0
0.90263146,69842.914,307.7601,0.0066314903,0.8000002,4.0,3050.0002
0.899476,68991.19,308.0794,0.0063552605,1.3999996,4.0,3150.0
0.8963233,68147.65,308.4013,0.0060891365,2.0,4.0,3250.0002
0.89317346,67312.25,308.72565,0.0058327327,2.6000004,4.0,3350.0002
0.8900264,66484.94,309.05243,0.005585749,3.1999998,4.0,3450.0
0.88688225,65665.664,309.38162,0.005347886,3.7999992,4.0,3550.0002
0.883741,64854.383,309.7131,0.0051188157,4.3999996,4.0,3650.0
0.8806027,64051.03,310.04688,0.004898257,5.0,4.0,3750.0002
0.8774674,63255.58,310.38287,0.004685946,5.6000004,4.0,3850.0002
0.8743351,62467.96,310.72107,0.0044815964,6.200001,4.0,3950.0002
0.87120587,61688.137,311.0614,0.0042849416,6.799999,4.0,4050.0002
0.86807966,60916.035,311.40387,0.004095752,7.3999996,4.0,4150.0
0.86495656,60151.625,311.74838,0.003913756,8.0,4.0,4250.0
0.8618366,59394.855,312.09494,0.0037387367,8.6,4.0,4350.0005
